ref	nazva	rik	arkhiv	fond	opys	sprava	url
ukaz-pvr-1959-byshiv	Указ Президії Верховної Ради УРСР від 4 березня 1959 року «Про ліквідацію Бишівського і Велико-Половецького районів Київської області»	1959					https://uk.wikisource.org/wiki/%D0%A3%D0%BA%D0%B0%D0%B7_%D0%9F%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D1%96%D1%97_%D0%92%D0%A0_%D0%A3%D0%A0%D0%A1%D0%A0_%D0%B2%D1%96%D0%B4_4.03.1959_%C2%AB%D0%9F%D1%80%D0%BE_%D0%BB%D1%96%D0%BA%D0%B2%D1%96%D0%B4%D0%B0%D1%86%D1%96%D1%8E_%D0%91%D0%B8%D1%88%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE_%D1%96_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE-%D0%9F%D0%BE%D0%BB%D0%BE%D0%B2%D0%B5%D1%86%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD%D1%96%D0%B2_%D0%9A%D0%B8%D1%97%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D1%97_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%96%C2%BB
ukaz-pvr-1962-10-3	Указ Президії Верховної Ради УРСР № 10/3 «Про віднесення в підпорядкування обласних (промислових) Рад депутатів трудящих міських поселень Української РСР»	1962					https://zakon.rada.gov.ua/laws/show/31%D0%B0-06
ukaz-pvr-1965-3n06	Указ Президії Верховної Ради УРСР № 3н-06 від 5 лютого 1965 року «Про внесення змін до Указу Президії Верховної Ради Української РСР від 4 січня 1965 року „Про внесення змін в адміністративне районування Української РСР“»	1965					https://zakon.rada.gov.ua/laws/show/3%D0%BD-06
ukaz-pvr-1965-raionuvannia	Указ Президії Верховної Ради УРСР «Про внесення змін в адміністративне районування Української РСР»	1965					https://uk.wikisource.org/wiki/Про_внесення_змін_в_адміністративне_районування_Української_РСР
ukr-arkhivisty-2007	Українські архівісти (XIX-XX ст.): біобібліографічний довідник	2007					https://undiasd.archives.gov.ua/doc/Ukrainski_arkhivisty_XIXXX_st.pdf
ukrainskyi-visnyk-1944	«Український вісник», Берлін, № 10 (18 червня 1944)	1944					https://libraria.ua/
ukwiki-marchuk	uk.wikipedia, стаття «Марчук Іван Іванович»						https://uk.wikipedia.org/wiki/Марчук_Іван_Іванович
ukwiki-petrychenko	Петриченко Андрій Архипович - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Петриченко_Андрій_Архипович
universaly-khmelnytskoho-1998	Універсали Богдана Хмельницького. 1648-1657 (упор. І. Крипʼякевич, І. Бутич). Київ: Наукова думка, 1998	1998					https://archive.org/details/Universaly1
utro-1907	«Утро», щоденна газета, Харків						https://libraria.ua/
veryha-2011	Верига В. І. Листопадовий рейд 1921 року. Київ: Стікс, 2011, 315, [5] с.	2011					https://irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=S&I21DBN=EC&P21DBN=EC&S21FMT=JwU_B&S21STN=1&S21REF=10&S21CNR=20&S21ALL=%28%3C.%3EI%3D%D0%92%D0%90746943%24%3C.%3E%29
vestnyk-kyivgubvykonkom-1924	«Вестник Киевского губисполкома», 15 листопада 1924, № 42	1924					https://libraria.ua/issues/1016/77716/?PageNumber=10&ArticleId=2816025
vilne-slovo	«Вільне слово», окупаційна газета, Київщина	1941-1943					https://libraria.ua/
visty-vutsvk	«Вісти ВУЦВК», щоденна газета, Харків						https://libraria.ua/
vozz-1951-t3	Воссоединение Украины с Россией: документы и материалы. У 3 т. Т. 3: 1651-1654 гг. Москва: Изд-во АН СССР, 1953, 546 с.	1953					https://resource.history.org.ua/item/0006604
wiki-andriivka-buchanskyi	Андріївка (Бучанський район) - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Андріївка_(Бучанський_район)
wiki-benivka	Бенівка - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D0%BD%D1%96%D0%B2%D0%BA%D0%B0
wiki-buian-stantsiia	Буян (станція) - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Буян_(станція)
wiki-byshiv	Вікіпедія, стаття «Бишів (Фастівський район)»						https://uk.wikipedia.org/wiki/%D0%91%D0%B8%D1%88%D1%96%D0%B2_(%D0%A4%D0%B0%D1%81%D1%82%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD)
wiki-chornohorodka	Чорногородка - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/Чорногородка
wiki-havronshchyna	Гавронщина (Макарівська селищна громада, Бучанський район) - стаття української Вікіпедії						https://uk.wikipedia.org/wiki/Гавронщина
wiki-horobiivka	Горобіївка (Фастівський район) - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Горобіївка_(Фастівський_район)
wiki-hruzke	Грузьке (Фастівський район) - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/Грузьке_(Фастівський_район)
wiki-kodra	Кодра (селище) - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B4%D1%80%D0%B0
wiki-kodrianska-selyshchna-rada	Кодрянська селищна рада - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B4%D1%80%D1%8F%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D1%81%D0%B5%D0%BB%D0%B8%D1%89%D0%BD%D0%B0_%D1%80%D0%B0%D0%B4%D0%B0
wiki-kolonshchyna	Колонщина - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Колонщина
wiki-komarivka	Комарівка (Бучанський район) - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Комарівка_(Бучанський_район)
wiki-kopyliv	Копилів						https://uk.wikipedia.org/wiki/Копилів
wiki-korolivka-buchanskyi	Королівка (Бучанський район) - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/Королівка_(Бучанський_район)
wiki-kozychanka	uk.wikipedia, стаття «Козичанка»						https://uk.wikipedia.org/wiki/Козичанка
wiki-lamakh	Ламах Аліна Миколаївна - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Ламах_Аліна_Миколаївна
wiki-lypivka-buchanskyi	Вікіпедія, стаття «Липівка (Бучанський район)»						https://uk.wikipedia.org/wiki/Липівка_(Бучанський_район)
wiki-malyi-karashyn	Малий Карашин - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Малий_Карашин
wiki-marianivka	Марʼянівка (Макарівська селищна громада) - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%27%D1%8F%D0%BD%D1%96%D0%B2%D0%BA%D0%B0_(%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B0_%D1%81%D0%B5%D0%BB%D0%B8%D1%89%D0%BD%D0%B0_%D0%B3%D1%80%D0%BE%D0%BC%D0%B0%D0%B4%D0%B0)
wiki-mostyshche-fastivskyi	Мостище (Фастівський район), стаття Вікіпедії						https://uk.wikipedia.org/wiki/Мостище_(Фастівський_район)
wiki-mostyshche-hostomil	Мостище (місцевість у Гостомелі), стаття Вікіпедії						https://uk.wikipedia.org/wiki/Мостище_(місцевість_у_Гостомелі)
wiki-motyzhyn	Мотижин - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/Мотижин
wiki-nebelytsia	Небелиця - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Небелиця
wiki-nebelytsia-richka	Небелиця (річка) - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Небелиця_(річка)
wiki-nizhylovychi	Ніжиловичі - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Ніжиловичі
wiki-novosilky-boiarka	Новосілки (Боярська міська громада) - Вікіпедія						https://uk.wikipedia.org/wiki/Новосілки_(Боярська_міська_громада)
wiki-ozerschyna	Озерщина - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/Озерщина
wiki-pamiatnyk-tuptalu	«Памʼятник Дмитру Ростовському (Макарів)», стаття української Вікіпедії						https://uk.wikipedia.org/wiki/Пам%27ятник_Дмитру_Ростовському_(Макарів)
wiki-pidsukha	Підсуха Олександр Миколайович - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Підсуха_Олександр_Миколайович
wiki-plakhtianka	Плахтянка - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B0%D1%85%D1%82%D1%8F%D0%BD%D0%BA%D0%B0
wiki-plakhtianska-rada	Плахтянська сільська рада - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B0%D1%85%D1%82%D1%8F%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D1%81%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B0_%D1%80%D0%B0%D0%B4%D0%B0
wiki-sosnivka-fastivskyi	Соснівка (Фастівський район), стаття Вікіпедії						https://uk.wikipedia.org/wiki/Соснівка_(Фастівський_район)
wiki-stari-shepelychi	Старі Шепеличі - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D1%80%D1%96_%D0%A8%D0%B5%D0%BF%D0%B5%D0%BB%D0%B8%D1%87%D1%96
wiki-ulianivka	Улянівка (Макарівський район) - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/Улянівка_(Макарівський_район)
wiki-velykyi-karashyn	Великий Карашин - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Великий_Карашин
wiki-vesela-sloboda	Весела Слобода - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/%D0%92%D0%B5%D1%81%D0%B5%D0%BB%D0%B0_%D0%A1%D0%BB%D0%BE%D0%B1%D0%BE%D0%B4%D0%B0
wiki-vitrivka	Вітрівка (Бучанський район) - стаття української Вікіпедії						https://uk.wikipedia.org/wiki/Вітрівка_(Бучанський_район)
wiki-yablunivka	Яблунівка (Фастівський район) - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Яблунівка_(Фастівський_район)
wiki-yasnohorodka	Ясногородка (Фастівський район)						https://uk.wikipedia.org/wiki/Ясногородка_(Фастівський_район)
wiki-yuriv	Юрів - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/Юрів
wiki-yurivka-hatne	Юрівка (Гатненська сільська громада) - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/Юрівка_(Гатненська_сільська_громада)
wiki-yurivska-silrada	Юрівська сільська рада (Макарівський район) - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/Юрівська_сільська_рада_(Макарівський_район)
wiki-zabuiannia	Забуяння - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Забуяння
wiki-zamkovyi	Замковий Петро Володимирович - стаття у Вікіпедії						https://uk.wikipedia.org/wiki/Замковий_Петро_Володимирович
wiki-zavalivka	Завалівка - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/Завалівка
wiki-zurivka	Зурівка - стаття у Вікіпедії	2026					https://uk.wikipedia.org/wiki/Зурівка
wikidata-q4065613	Вікідані, обʼєкт Q4065613 (Андріївка Бучанського району)						https://www.wikidata.org/wiki/Q4065613
wikidata-q4110072	Wikidata, елемент села Вітрівка						https://www.wikidata.org/wiki/Q4110072
wikidata-q4429588	Wikidata, елемент села Соснівка						https://www.wikidata.org/wiki/Q4429588
wikidata-q7239362	Вікідані, обʼєкт Q7239362 (Липівка)						https://www.wikidata.org/wiki/Q7239362
wikisource-dako-384-10	Перепис населення 1897 року, Сквирський повіт - повний опис 394 справ		ДАКО	384	10		https://uk.wikisource.org/wiki/Архів:ДАКО/384/10
wikisource-dako-384-opysy	Перепис населення 1897 року - таблиця описів фонду 384		ДАКО	384			https://uk.wikisource.org/wiki/Архів:ДАКО/384
yasnohorodka-rada-arhiv	Історія села Ясногородка, архів сайту Ясногородської сільської ради						https://yasnogorodka.rada.arhiv.org.ua/yasnogorodka-14-01-21-13-11-2017/
za-sotsialistychni-tempy-1936	«За соціалістичні темпи», газета Макарівських РПК і РВК, № 17 (541)	1936					https://commons.wikimedia.org/wiki/File:Mv-17-1936.pdf
za-sotsialistychni-tempy-1939	«За соціалістичні темпи», газета Макарівських РПК і РВК, № 173 (1184), 28 грудня 1939	1939					https://commons.wikimedia.org/wiki/File:Mv-173-1939.pdf
zhyttia-i-revoliutsiia	«Життя й революція», місячник, Державне видавництво України, Київ	1925-1934					https://libraria.ua/
zntsh-240	«Записки Наукового товариства ім. Шевченка». Том 240						https://libraria.ua/issues/1293/103888/?PageNumber=387&ArticleId=3482404
zrodla-dziejowe-20	Źródła dziejowe, t. XX: Polska XVI wieku pod względem geograficzno-statystycznym. T. IX: Ziemie ruskie. Ukraina (Kijów-Bracław). Warszawa, 1894	1894					https://www.wbc.poznan.pl/dlibra/publication/1174/edition/1786
zrodla-dziejowe-21	Źródła dziejowe, t. XXI: Polska XVI wieku… T. X: Ziemie ruskie. Ukraina (Kijów-Bracław), dokończenie. Warszawa, 1894	1894					https://archive.org/details/jbc.bj.uj.edu.pl.NDIGDRUK048422
